ticket_id,account_id,created_at,priority,category,resolved_hours
T00343,A0097,2024-04-11,P1,how_to,43.5
T00344,A0097,2024-02-07,P3,access,
T00345,A0098,2024-01-02,P3,outage,20.4
T00346,A0098,2024-01-18,P1,how_to,29.3
T00347,A0098,2024-05-27,P2,bug,28.0
T00348,A0098,2024-02-13,P2,billing,67.1
T00349,A0098,2024-06-16,P2,billing,45.7
T00350,A0098,2024-05-12,P1,outage,
T00351,A0098,2024-02-16,P1,access,64.2
T00352,A0098,2024-02-26,P1,bug,48.0
T00353,A0098,2024-04-15,P1,billing,39.7
T00354,A0098,2024-03-31,P3,how_to,49.9
T00355,A0098,2024-05-01,P1,outage,52.7
T00356,A0098,2024-04-06,P2,bug,28.9
T00357,A0098,2024-05-06,P3,access,15.5
T00358,A0099,2024-06-26,P3,bug,30.6
T00359,A0099,2024-04-22,P3,billing,
T00360,A0099,2024-06-05,P2,outage,42.5
T00361,A0099,2024-02-18,P3,how_to,42.2
T00362,A0100,2024-06-09,P3,billing,3.0
T00363,A0100,2024-03-25,P3,outage,29.1
T00364,A0100,2024-01-20,P1,outage,50.4
T00365,A0100,2024-03-26,P2,bug,
T00366,A0100,2024-04-30,P2,access,22.8
T00367,A0101,2024-06-04,P1,billing,63.0
T00368,A0101,2024-01-26,P3,billing,63.2
T00369,A0101,2024-06-18,P1,how_to,53.0
T00370,A0101,2024-01-20,P1,how_to,35.3
T00371,A0101,2024-02-28,P1,bug,
T00372,A0102,2024-04-03,P2,access,33.1
T00373,A0102,2024-03-26,P1,how_to,67.0
T00374,A0102,2024-02-21,P1,bug,13.1
T00375,A0102,2024-03-15,P2,billing,4.7
T00376,A0103,2024-05-21,P3,access,52.5
T00377,A0104,2024-01-02,P3,outage,47.7
T00378,A0104,2024-02-02,P3,access,22.6
T00379,A0104,2024-05-18,P2,billing,32.1
T00380,A0104,2024-05-07,P3,bug,70.4
T00381,A0105,2024-04-06,P2,bug,31.9
T00382,A0105,2024-05-23,P3,billing,
T00383,A0105,2024-05-12,P3,access,36.0
T00384,A0106,2024-02-27,P1,access,9.6
T00385,A0106,2024-04-05,P2,how_to,21.0
T00386,A0107,2024-05-27,P3,outage,
T00387,A0107,2024-03-31,P1,outage,68.3
T00388,A0107,2024-01-01,P1,access,41.3
T00389,A0107,2024-05-26,P2,billing,30.8
T00390,A0108,2024-03-29,P1,how_to,66.5
T00391,A0108,2024-05-13,P1,billing,40.6
T00392,A0108,2024-01-07,P3,access,20.3
T00393,A0108,2024-02-05,P2,how_to,
T00394,A0108,2024-04-14,P3,bug,64.8
T00395,A0108,2024-04-21,P2,billing,64.0
T00396,A0108,2024-02-04,P2,bug,26.8
T00397,A0109,2024-03-13,P1,billing,29.9
T00398,A0109,2024-03-27,P2,outage,2.8
T00399,A0109,2024-03-29,P3,how_to,62.2
T00400,A0109,2024-06-22,P2,access,30.3
T00401,A0109,2024-06-13,P1,how_to,46.7
T00402,A0109,2024-01-18,P1,access,42.1
T00403,A0110,2024-02-12,P1,how_to,37.4
T00404,A0110,2024-05-05,P3,outage,36.1
T00405,A0110,2024-05-16,P2,access,
T00406,A0111,2024-03-17,P2,billing,51.0
T00407,A0111,2024-03-23,P1,billing,44.8
T00408,A0111,2024-01-02,P3,how_to,
T00409,A0112,2024-04-26,P2,outage,
T00410,A0112,2024-01-08,P2,billing,10.5
T00411,A0112,2024-06-05,P1,bug,58.1
T00412,A0113,2024-02-01,P2,access,40.7
T00413,A0113,2024-03-13,P1,bug,40.2
T00414,A0113,2024-02-17,P1,access,23.9
T00415,A0113,2024-02-14,P2,access,67.2
T00416,A0113,2024-06-01,P2,billing,30.8
T00417,A0113,2024-02-05,P1,how_to,13.5
T00418,A0113,2024-04-19,P3,billing,8.1
T00419,A0114,2024-01-22,P3,billing,66.6
T00420,A0114,2024-01-06,P2,outage,17.9
T00421,A0115,2024-03-04,P1,outage,39.5
T00422,A0115,2024-02-01,P1,how_to,
T00423,A0115,2024-04-19,P2,access,21.9
T00424,A0115,2024-03-22,P2,billing,56.3
T00425,A0117,2024-01-26,P2,access,
T00426,A0117,2024-01-12,P2,how_to,36.3
T00427,A0118,2024-06-10,P1,outage,9.0
T00428,A0118,2024-02-14,P2,bug,60.6
T00429,A0118,2024-02-10,P2,outage,67.9
T00430,A0118,2024-02-15,P3,billing,53.5
T00431,A0119,2024-01-10,P2,outage,22.5
T00432,A0119,2024-04-29,P1,bug,40.0
T00433,A0119,2024-03-18,P2,access,48.4
T00434,A0119,2024-03-23,P1,access,13.6
T00435,A0119,2024-05-11,P1,outage,70.1
T00436,A0120,2024-04-02,P2,billing,
T00437,A0120,2024-05-24,P2,billing,41.0
T00438,A0120,2024-04-20,P1,how_to,64.4
T00439,A0120,2024-02-24,P3,outage,61.6
T00440,A0120,2024-03-04,P3,bug,48.8
T00441,A0120,2024-05-09,P3,how_to,70.9
T00442,A0121,2024-04-19,P3,bug,28.8
T00443,A0122,2024-05-11,P2,billing,46.5
T00444,A0122,2024-04-07,P3,billing,53.0
T00445,A0124,2024-04-02,P2,bug,19.0
T00446,A0124,2024-03-01,P3,bug,25.9
T00447,A0125,2024-03-13,P2,billing,17.8
T00448,A0125,2024-01-04,P1,bug,54.7
T00449,A0125,2024-02-16,P3,billing,20.7
T00450,A0125,2024-01-08,P2,outage,19.8
T00451,A0125,2024-03-01,P2,bug,5.1
T00452,A0125,2024-04-03,P3,bug,54.4
T00453,A0125,2024-03-24,P1,outage,17.0
T00454,A0126,2024-06-01,P2,how_to,66.2
T00455,A0126,2024-03-26,P3,bug,22.2
T00456,A0126,2024-06-22,P3,bug,
T00457,A0127,2024-04-03,P3,outage,
T00458,A0128,2024-05-27,P3,how_to,42.9
T00459,A0128,2024-03-01,P3,billing,19.8
T00460,A0128,2024-03-25,P2,bug,15.1
T00461,A0129,2024-06-22,P2,access,55.8
T00462,A0129,2024-05-08,P3,billing,18.4
T00463,A0129,2024-01-04,P2,bug,44.3
T00464,A0129,2024-05-25,P3,access,49.3
T00465,A0129,2024-01-19,P2,billing,47.1
T00466,A0129,2024-03-07,P3,billing,56.0
T00467,A0129,2024-03-19,P2,bug,7.2
T00468,A0130,2024-01-28,P3,bug,
T00469,A0131,2024-03-04,P3,outage,36.7
T00470,A0131,2024-02-05,P1,billing,4.1
T00471,A0132,2024-03-13,P1,bug,12.7
T00472,A0132,2024-05-06,P2,bug,45.9
T00473,A0132,2024-04-30,P1,outage,22.3
T00474,A0132,2024-05-11,P3,access,3.7
T00475,A0133,2024-04-23,P3,outage,38.8
T00476,A0133,2024-06-17,P2,bug,64.9
T00477,A0134,2024-04-28,P2,bug,42.5
T00478,A0134,2024-01-01,P2,bug,22.6
T00479,A0134,2024-04-14,P2,how_to,70.8
T00480,A0134,2024-06-21,P1,outage,50.0
T00481,A0134,2024-05-27,P2,how_to,27.1
T00482,A0134,2024-02-15,P3,bug,
T00483,A0134,2024-03-17,P2,billing,28.5
T00484,A0134,2024-05-27,P1,bug,49.9
T00485,A0135,2024-03-10,P3,outage,67.4
T00486,A0136,2024-03-22,P3,bug,19.8
T00487,A0136,2024-06-13,P1,bug,22.7
T00488,A0136,2024-02-25,P2,access,58.4
T00489,A0136,2024-06-08,P2,outage,47.7
T00490,A0136,2024-05-01,P3,how_to,
T00491,A0136,2024-01-20,P2,how_to,53.4
T00492,A0137,2024-02-27,P3,bug,45.3
T00493,A0137,2024-01-01,P2,bug,31.1
T00494,A0138,2024-04-30,P3,how_to,9.3
T00495,A0138,2024-03-17,P1,bug,43.2
T00496,A0139,2024-03-23,P3,billing,50.9
T00497,A0139,2024-01-06,P1,outage,19.1
T00498,A0139,2024-05-28,P2,bug,17.7
T00499,A0140,2024-05-27,P2,outage,19.9
T00500,A0141,2024-01-17,P1,how_to,40.8
T00501,A0141,2024-02-03,P1,billing,71.9
T00502,A0141,2024-02-03,P2,how_to,16.0
T00503,A0141,2024-03-13,P2,how_to,57.9
T00504,A0141,2024-02-05,P2,outage,39.1
T00505,A0141,2024-03-13,P3,access,3.9
T00506,A0141,2024-03-02,P1,bug,6.9
T00507,A0141,2024-04-27,P1,outage,15.5
T00508,A0142,2024-06-11,P3,how_to,69.5
T00509,A0143,2024-01-22,P2,how_to,3.6
T00510,A0143,2024-04-22,P3,billing,37.4
T00511,A0143,2024-03-12,P1,access,69.4
T00512,A0143,2024-04-13,P1,billing,51.4
T00513,A0144,2024-02-16,P3,bug,
T00514,A0144,2024-03-26,P2,outage,7.1
T00515,A0144,2024-02-17,P1,access,8.0
T00516,A0144,2024-05-22,P1,billing,50.2
T00517,A0144,2024-01-22,P3,how_to,55.7
T00518,A0144,2024-03-01,P3,outage,31.9
T00519,A0144,2024-03-05,P3,bug,33.8
T00520,A0144,2024-04-06,P1,outage,39.8
T00521,A0144,2024-04-20,P2,how_to,26.5
T00522,A0145,2024-06-27,P2,billing,21.1
T00523,A0145,2024-01-13,P3,billing,53.9
T00524,A0146,2024-01-07,P2,outage,53.4
T00525,A0146,2024-02-26,P3,how_to,39.6
T00526,A0146,2024-04-13,P3,bug,26.2
T00527,A0146,2024-01-27,P1,outage,34.1
T00528,A0147,2024-03-02,P3,billing,61.7
T00529,A0147,2024-03-09,P3,access,40.6
T00530,A0147,2024-03-20,P1,outage,10.9
T00531,A0147,2024-05-07,P2,billing,30.5
T00532,A0147,2024-03-26,P1,bug,5.4
T00533,A0147,2024-04-03,P3,access,26.3
T00534,A0148,2024-02-16,P3,how_to,5.3
T00535,A0148,2024-01-29,P3,bug,69.0
T00536,A0149,2024-02-18,P2,bug,9.0
T00537,A0149,2024-06-27,P3,outage,19.3
T00538,A0149,2024-05-12,P2,how_to,70.8
T00539,A0149,2024-05-01,P2,billing,15.6
T00540,A0149,2024-04-27,P2,billing,43.6
T00541,A0149,2024-05-03,P3,outage,17.7
T00542,A0150,2024-04-21,P3,billing,65.6
T00543,A0150,2024-05-10,P2,outage,30.4
T00544,A0150,2024-01-29,P3,how_to,15.7
T00545,A0150,2024-03-02,P2,outage,17.4
T00546,A0151,2024-04-04,P3,access,8.1
T00547,A0153,2024-04-11,P2,bug,26.1
T00548,A0153,2024-06-06,P1,access,7.3
T00549,A0153,2024-05-13,P3,access,13.1
T00550,A0153,2024-02-26,P3,billing,64.1
T00551,A0153,2024-03-08,P1,outage,61.8
T00552,A0153,2024-05-14,P1,bug,52.6
T00553,A0153,2024-02-04,P2,outage,
T00554,A0154,2024-03-23,P1,bug,9.7
T00555,A0155,2024-04-12,P2,access,40.6
T00556,A0155,2024-02-01,P3,billing,1.4
T00557,A0156,2024-02-28,P3,bug,17.8
T00558,A0156,2024-04-17,P3,access,35.9
T00559,A0157,2024-01-06,P1,access,
T00560,A0157,2024-02-07,P2,bug,
T00561,A0157,2024-02-20,P1,bug,42.8
T00562,A0157,2024-01-16,P1,outage,
T00563,A0157,2024-06-27,P2,bug,19.6
T00564,A0157,2024-06-22,P1,outage,46.2
T00565,A0157,2024-02-28,P2,access,24.1
