account_id,month,active_users,events,feature_adoption_score
A0036,2024-02,286,2672,0.592
A0036,2024-03,295,7039,0.171
A0036,2024-04,327,5206,0.52
A0036,2024-05,281,5704,0.624
A0036,2024-06,291,4573,0.533
A0037,2024-01,380,6533,0.394
A0037,2024-02,370,5109,0.23
A0037,2024-03,336,5026,0.291
A0037,2024-04,333,7683,0.076
A0037,2024-05,294,5494,0.356
A0037,2024-06,288,4375,0.329
A0038,2024-01,153,2740,0.307
A0038,2024-02,149,3492,0.474
A0038,2024-03,118,1403,0.451
A0038,2024-04,106,1892,0.249
A0038,2024-05,61,819,0.462
A0038,2024-06,69,864,0.223
A0039,2024-01,214,2379,0.449
A0039,2024-02,232,5301,0.405
A0039,2024-03,231,2397,0.458
A0039,2024-04,214,5129,0.352
A0039,2024-05,227,4755,0.643
A0039,2024-06,221,3369,0.243
A0040,2024-01,108,1254,0.406
A0040,2024-02,66,1511,0.591
A0040,2024-03,74,1640,0.477
A0040,2024-04,69,828,0.421
A0040,2024-05,13,251,0.589
A0040,2024-06,9,201,0.224
A0041,2024-01,351,5793,0.495
A0041,2024-02,347,3653,0.599
A0041,2024-03,362,6768,0.66
A0041,2024-04,359,5660,0.402
A0041,2024-05,387,3587,0.497
A0041,2024-06,360,6136,0.64
A0042,2024-01,51,866,0.033
A0042,2024-02,47,559,0.137
A0042,2024-03,12,155,0.558
A0042,2024-04,17,160,0.098
A0042,2024-05,1,21,0.371
A0042,2024-06,1,23,0.622
A0043,2024-01,159,3123,0.327
A0043,2024-02,124,2901,0.452
A0043,2024-03,100,972,0.238
A0043,2024-04,93,2209,0.282
A0043,2024-05,98,1505,0.304
A0043,2024-06,46,370,0.335
A0044,2024-01,207,4122,0.504
A0044,2024-02,194,2016,0.296
A0044,2024-03,170,1979,0.117
A0044,2024-04,150,3622,0.286
A0044,2024-05,136,2081,0.537
A0044,2024-06,111,2346,0.34
A0045,2024-01,266,6315,0.546
A0045,2024-02,291,3583,0.294
A0045,2024-03,283,4272,0.555
A0045,2024-04,276,4993,0.258
A0045,2024-05,304,7227,0.695
A0045,2024-06,269,6551,0.652
A0046,2024-01,185,3470,0.372
A0046,2024-02,158,2357,0.171
A0046,2024-03,160,1900,0.194
A0046,2024-04,112,2127,0.401
A0046,2024-05,105,1783,0.343
A0046,2024-06,88,1021,0.271
A0047,2024-01,344,4155,0.555
A0047,2024-02,333,6926,0.391
A0047,2024-03,350,8693,0.726
A0047,2024-04,337,8073,0.603
A0047,2024-05,364,6047,0.618
A0047,2024-06,342,7975,0.649
A0048,2024-01,317,5503,0.402
A0048,2024-02,301,6548,0.213
A0048,2024-03,275,6301,0.272
A0048,2024-04,261,4756,0.528
A0048,2024-05,257,6342,0.176
A0048,2024-06,218,4561,0.314
A0049,2024-01,163,3204,0.902
A0049,2024-02,156,1799,0.463
A0049,2024-03,161,1675,0.679
A0049,2024-04,150,2716,0.326
A0049,2024-05,162,1672,0.397
A0049,2024-06,172,2429,0.239
A0050,2024-01,322,4899,0.577
A0050,2024-02,312,6544,0.692
A0050,2024-03,289,2604,0.267
A0050,2024-04,275,6494,0.289
A0050,2024-05,239,4114,0.321
A0050,2024-06,208,2368,0.289
A0051,2024-01,360,3956,0.747
A0051,2024-02,359,4535,0.714
A0051,2024-03,389,9138,0.669
A0051,2024-04,366,6308,0.556
A0051,2024-05,348,5981,0.7
A0051,2024-06,372,6551,0.578
A0052,2024-01,371,6342,0.702
A0052,2024-02,365,9064,0.493
A0052,2024-03,340,3793,0.684
A0052,2024-04,372,8448,0.695
A0052,2024-05,341,2770,0.338
A0052,2024-06,355,7255,0.714
A0053,2024-01,101,2398,0.378
A0053,2024-02,99,2404,0.112
A0053,2024-03,69,1082,0.471
A0053,2024-04,41,666,0.473
A0053,2024-05,38,880,0.679
A0053,2024-06,21,413,0.428
A0054,2024-01,101,1528,0.334
A0054,2024-02,99,1852,0.396
A0054,2024-03,96,1434,0.549
A0054,2024-04,81,1388,0.48
A0054,2024-05,101,1466,0.488
A0054,2024-06,94,1360,0.694
A0055,2024-01,291,4543,0.575
A0055,2024-02,273,5546,0.177
A0055,2024-03,246,3428,0.56
A0055,2024-04,211,2683,0.361
A0055,2024-05,224,4467,0.235
A0055,2024-06,162,2696,0.69
A0056,2024-01,227,2817,0.605
A0056,2024-02,228,4002,0.536
A0056,2024-03,236,3318,0.745
A0056,2024-04,234,3078,0.663
A0056,2024-05,226,3031,0.531
A0056,2024-06,221,5365,0.707
A0057,2024-01,317,7104,0.858
A0057,2024-02,313,6325,0.582
A0057,2024-03,329,4537,0.85
A0057,2024-04,317,6535,0.791
A0057,2024-05,339,5020,0.462
A0057,2024-06,342,8484,0.578
A0058,2024-01,161,3247,0.43
A0058,2024-02,132,2707,0.548
A0058,2024-03,149,3507,0.559
A0058,2024-04,139,1203,0.298
A0058,2024-05,147,3294,0.483
A0058,2024-06,136,2259,0.623
A0059,2024-01,265,3751,0.456
A0059,2024-02,254,5618,0.244
A0059,2024-03,259,3060,0.367
A0059,2024-04,211,3152,0.282
A0059,2024-05,187,4161,0.169
A0059,2024-06,190,2510,0.293
A0060,2024-01,63,1398,0.648
A0060,2024-02,81,690,0.491
A0060,2024-03,70,803,0.288
A0060,2024-04,71,1624,0.688
A0060,2024-05,75,1085,0.815
A0060,2024-06,54,1147,0.57
A0061,2024-01,340,7315,0.387
A0061,2024-02,319,2632,0.229
A0061,2024-03,321,4414,0.412
A0061,2024-04,330,6232,0.026
A0061,2024-05,294,5557,0.185
A0061,2024-06,277,4296,0.25
A0062,2024-01,184,2031,0.327
A0062,2024-02,184,3222,0.435
A0062,2024-03,178,2216,0.472
A0062,2024-04,146,1677,0.272
A0062,2024-05,129,2108,0.268
A0062,2024-06,132,2713,0.429
A0063,2024-01,301,4705,0.719
A0063,2024-02,318,4907,0.633
A0063,2024-03,316,2941,0.42
A0063,2024-04,329,4773,0.778
A0063,2024-05,326,4395,0.766
A0063,2024-06,346,4320,0.316
A0064,2024-01,146,2111,0.274
A0064,2024-02,160,2502,0.176
A0064,2024-03,126,2860,0.0
A0064,2024-04,84,1966,0.553
A0064,2024-05,109,2607,0.324
A0064,2024-06,59,1286,0.579
A0065,2024-01,293,4837,0.757
A0065,2024-02,297,5450,0.496
A0065,2024-03,298,3631,0.585
A0065,2024-04,307,5581,0.35
A0065,2024-05,309,6109,0.628
A0065,2024-06,287,4005,0.565
A0066,2024-01,351,7685,0.29
A0066,2024-02,317,6066,0.422
A0066,2024-03,326,4147,0.574
A0066,2024-04,291,6193,0.582
A0066,2024-05,262,3252,0.534
A0066,2024-06,283,5602,0.453
A0067,2024-01,200,2250,0.608
A0067,2024-02,211,2653,0.615
A0067,2024-03,239,2389,0.627
A0067,2024-04,225,4768,0.651
A0067,2024-05,212,2844,0.56
A0067,2024-06,228,2755,0.212
A0068,2024-01,69,604,0.454
A0068,2024-02,84,1210,0.797
A0068,2024-03,98,840,0.745
A0068,2024-04,87,1028,0.685
A0068,2024-05,109,911,0.484
A0068,2024-06,92,1449,0.412
A0069,2024-01,361,3378,0.423
A0069,2024-02,333,6069,0.316
A0069,2024-03,319,4218,0.604
A0069,2024-04,292,2824,0.393
A0069,2024-05,304,4246,0.443
A0069,2024-06,294,4637,0.327
A0070,2024-01,178,2708,0.631
A0070,2024-02,178,2054,0.663
A0070,2024-03,198,1926,0.704
A0070,2024-04,148,2755,0.301
A0070,2024-05,129,1066,0.35
A0070,2024-06,110,2163,0.28
A0071,2024-01,68,1339,0.529
A0071,2024-02,79,763,0.525
A0071,2024-03,105,1767,0.537
A0071,2024-04,100,1786,0.601
A0071,2024-05,115,2598,0.347
A0071,2024-06,94,2212,0.758
A0072,2024-01,90,1046,0.247
A0072,2024-02,72,1588,0.502
A0072,2024-03,50,458,0.448
A0072,2024-04,31,320,0.401
A0072,2024-05,29,647,0.37
A0072,2024-06,17,352,0.25
A0073,2024-01,341,4964,0.641
A0073,2024-02,328,6980,0.439
A0073,2024-03,343,3253,0.34
A0073,2024-04,344,5336,0.573
A0073,2024-05,363,6058,0.532
A0073,2024-06,370,8841,0.673
A0074,2024-01,298,4253,0.426
A0074,2024-02,315,6784,0.834
A0074,2024-03,280,3282,0.664
A0074,2024-04,292,3771,0.533
A0074,2024-05,293,6904,0.577
A0074,2024-06,302,2886,0.52
A0075,2024-01,385,8273,0.265
A0075,2024-02,347,6702,0.585
A0075,2024-03,374,5003,0.524
A0075,2024-04,394,6993,0.562
A0075,2024-05,395,4701,0.537
A0075,2024-06,386,7767,0.293
A0076,2024-01,281,2676,0.664
A0076,2024-02,275,4751,0.52
A0076,2024-03,279,3621,0.543
A0076,2024-04,283,6911,0.657
A0076,2024-05,294,6692,0.655
A0076,2024-06,275,3631,0.62
A0077,2024-01,259,5188,0.828
A0077,2024-02,286,6269,0.514
A0077,2024-03,280,6096,0.645
A0077,2024-04,289,5628,0.685
A0077,2024-05,290,5746,0.675
A0077,2024-06,303,5651,0.775
A0078,2024-01,153,2292,0.557
A0078,2024-02,155,1256,0.526
A0078,2024-03,137,2557,0.369
A0078,2024-04,108,1758,0.367
A0078,2024-05,107,1612,0.478
A0078,2024-06,70,1167,0.383
A0079,2024-01,79,933,0.507
A0079,2024-02,65,1620,0.57
A0079,2024-03,95,860,0.608
A0079,2024-04,79,638,0.453
A0079,2024-05,88,1347,0.206
A0079,2024-06,92,847,0.602
A0080,2024-01,143,3385,0.533
A0080,2024-02,149,2875,0.934
A0080,2024-03,143,3059,0.667
A0080,2024-04,140,3353,0.46
A0080,2024-05,161,2408,0.515
A0080,2024-06,162,2192,0.537
A0081,2024-01,254,5537,0.469
A0081,2024-02,219,1808,0.158
A0081,2024-03,212,2890,0.302
A0081,2024-04,180,2001,0.108
A0081,2024-05,163,3346,0.133
A0081,2024-06,164,3768,0.27
A0082,2024-01,336,8362,0.492
A0082,2024-02,326,6510,0.632
A0082,2024-03,307,4500,0.288
A0082,2024-04,340,3541,0.497
A0082,2024-05,356,7584,0.434
A0082,2024-06,347,7979,0.318
A0083,2024-01,318,5381,0.461
A0083,2024-02,359,6159,0.478
A0083,2024-03,321,5300,0.591
A0083,2024-04,321,5837,0.591
A0083,2024-05,341,6582,0.586
A0083,2024-06,327,7961,0.567
A0084,2024-01,259,4892,0.673
A0084,2024-02,256,2122,0.578
A0084,2024-03,269,3214,0.411
A0084,2024-04,247,4086,0.415
A0084,2024-05,257,3483,0.49
A0084,2024-06,249,4054,0.622
A0085,2024-01,115,1737,0.436
A0085,2024-02,147,3538,0.599
A0085,2024-03,164,2507,0.459
A0085,2024-04,166,3840,0.513
A0085,2024-05,181,2832,0.521
A0085,2024-06,155,2809,0.581
A0086,2024-01,228,2521,0.432
A0086,2024-02,213,4576,0.433
A0086,2024-03,175,1684,0.165
A0086,2024-04,170,2009,0.335
A0086,2024-05,141,3266,0.401
A0086,2024-06,118,953,0.559
A0087,2024-01,278,2512,0.362
A0087,2024-02,272,4238,0.231
A0087,2024-03,246,5781,0.298
A0087,2024-04,250,2456,0.171
A0087,2024-05,200,4478,0.258
A0087,2024-06,194,1876,0.311
A0088,2024-01,213,2517,0.501
A0088,2024-02,217,4461,0.648
A0088,2024-03,227,3849,0.659
A0088,2024-04,216,4232,0.855
A0088,2024-05,205,3147,0.746
A0088,2024-06,207,3743,0.462
A0089,2024-01,88,725,0.476
A0089,2024-02,51,1236,0.45
A0089,2024-03,62,808,0.434
A0089,2024-04,54,437,0.199
A0089,2024-05,30,490,0.217
A0089,2024-06,2,49,0.367
A0090,2024-01,404,5659,0.159
A0090,2024-02,360,4164,0.225
A0090,2024-03,366,5138,0.374
A0090,2024-04,348,7597,0.371
A0090,2024-05,317,5646,0.334
A0090,2024-06,307,7169,0.515
A0091,2024-01,219,2111,0.348
A0091,2024-02,244,3092,0.563
A0091,2024-03,282,4767,0.836
A0091,2024-04,275,4948,0.496
A0091,2024-05,261,4010,0.548
A0091,2024-06,273,5918,0.613
A0092,2024-01,92,843,0.315
A0092,2024-02,80,1358,0.44
A0092,2024-03,81,1222,0.154
A0092,2024-04,49,762,0.483
A0092,2024-05,42,1016,0.609
A0092,2024-06,14,222,0.311
A0093,2024-01,301,4945,0.205
A0093,2024-02,260,3140,0.482
A0093,2024-03,281,2917,0.478
A0093,2024-04,256,5440,0.346
A0093,2024-05,218,4275,0.481
A0093,2024-06,208,3079,0.342
A0094,2024-01,310,2891,0.443
A0094,2024-02,290,2668,0.259
A0094,2024-03,289,4215,0.167
A0094,2024-04,255,5139,0.062
A0094,2024-05,233,4582,0.398
A0094,2024-06,199,3655,0.378
A0095,2024-01,85,1279,0.563
A0095,2024-02,68,1688,0.243
A0095,2024-03,35,429,0.296
A0095,2024-04,43,635,0.166
A0095,2024-05,1,11,0.325
A0095,2024-06,1,9,0.213
A0096,2024-01,397,4087,0.316
A0096,2024-02,413,3455,0.608
A0096,2024-03,411,3863,0.595
A0096,2024-04,423,4743,0.658
A0096,2024-05,424,7743,0.548
A0096,2024-06,413,9435,0.72
A0097,2024-01,258,5054,0.299
A0097,2024-02,234,2909,0.17
A0097,2024-03,268,2690,0.735
A0097,2024-04,265,3883,0.648
A0097,2024-05,263,3058,0.591
A0097,2024-06,276,6389,0.529
A0098,2024-01,368,7177,0.257
A0098,2024-02,343,2807,0.215
A0098,2024-03,346,3660,0.235
A0098,2024-04,321,3590,0.109
A0098,2024-05,293,6123,0.428
A0098,2024-06,284,3079,0.203
A0099,2024-01,111,1093,0.282
A0099,2024-02,61,642,0.285
A0099,2024-03,63,950,0.154
A0099,2024-04,31,248,0.461
A0099,2024-05,49,451,0.198
A0099,2024-06,1,10,0.272
A0100,2024-01,203,4420,0.279
A0100,2024-02,211,3390,0.161
A0100,2024-03,197,3644,0.376
A0100,2024-04,156,3748,0.318
A0100,2024-05,152,3206,0.293
A0100,2024-06,126,1048,0.26
A0101,2024-01,79,1420,0.318
A0101,2024-02,45,737,0.679
A0101,2024-03,45,498,0.604
A0101,2024-04,35,556,0.237
A0101,2024-05,1,22,0.336
A0101,2024-06,1,11,0.394
A0102,2024-01,338,6812,0.675
A0102,2024-02,329,6286,0.554
A0102,2024-03,362,6525,0.584
A0102,2024-04,346,4553,0.364
A0102,2024-05,363,4672,0.421
A0102,2024-06,353,4524,0.385
A0103,2024-01,243,4465,0.496
A0103,2024-02,248,4247,0.758
A0103,2024-03,265,3645,0.456
A0103,2024-04,240,5232,0.757
A0103,2024-05,268,3857,0.659
A0103,2024-06,265,5554,0.579
A0104,2024-01,215,5132,0.31
A0104,2024-02,228,1837,0.664
A0104,2024-03,245,2263,0.763
A0104,2024-04,223,2589,0.69
A0104,2024-05,252,5617,0.623
A0104,2024-06,214,3691,0.633
A0105,2024-01,208,1860,0.396
A0105,2024-02,210,3415,0.771
A0105,2024-03,190,1620,0.598
A0105,2024-04,214,3221,0.241
A0105,2024-05,217,1974,0.717
A0105,2024-06,220,3746,0.356
A0106,2024-01,138,2598,0.131
A0106,2024-02,104,958,0.452
A0106,2024-03,107,2073,0.428
A0106,2024-04,97,1121,0.73
A0106,2024-05,107,1087,0.381
A0106,2024-06,110,1404,0.517
A0107,2024-01,294,6553,0.529
A0107,2024-02,270,3303,0.413
A0107,2024-03,278,6176,0.384
A0107,2024-04,228,4552,0.43
A0107,2024-05,220,4700,0.475
A0107,2024-06,201,3977,0.204
A0108,2024-01,175,2480,0.497
A0108,2024-02,150,2826,0.617
A0108,2024-03,129,2503,0.293
A0108,2024-04,93,1532,0.411
A0108,2024-05,105,1344,0.522
A0108,2024-06,84,1359,0.439
A0109,2024-01,215,4354,0.362
A0109,2024-02,197,4587,0.562
A0109,2024-03,203,2124,0.359
A0109,2024-04,151,2732,0.505
A0109,2024-05,159,2600,0.356
A0109,2024-06,131,3258,0.282
A0110,2024-01,279,6678,0.264
A0110,2024-02,255,5657,0.471
A0110,2024-03,248,2562,0.574
A0110,2024-04,196,2812,0.673
A0110,2024-05,205,2690,0.344
A0110,2024-06,179,3826,0.343
A0111,2024-01,358,7484,0.327
A0111,2024-02,355,5854,0.615
A0111,2024-03,329,7768,0.613
A0111,2024-04,320,4349,0.328
A0111,2024-05,346,4805,0.367
A0111,2024-06,351,6266,0.451
A0112,2024-01,154,1505,0.581
A0112,2024-02,148,2615,0.372
A0112,2024-03,115,987,0.203
A0112,2024-04,103,1538,0.613
A0112,2024-05,121,2696,0.261
A0112,2024-06,83,1509,0.025
A0113,2024-01,41,826,0.149
A0113,2024-02,22,271,0.501
A0113,2024-03,15,171,0.354
A0113,2024-04,1,16,0.454
A0113,2024-05,1,16,0.211
A0113,2024-06,1,13,0.535
A0114,2024-01,380,6790,0.483
A0114,2024-02,394,3665,0.858
A0114,2024-03,379,4220,0.534
A0114,2024-04,397,5911,0.678
A0114,2024-05,397,6266,0.822
A0114,2024-06,409,5285,0.326
A0115,2024-01,340,5476,0.41
A0115,2024-02,331,2858,0.682
A0115,2024-03,285,2502,0.31
A0115,2024-04,290,3616,0.31
A0115,2024-05,277,6370,0.153
A0115,2024-06,262,5938,0.269
A0116,2024-01,402,4344,0.555
A0116,2024-02,407,3863,0.671
A0116,2024-03,388,7249,0.636
A0116,2024-04,406,6737,0.465
A0116,2024-05,416,5520,0.409
A0116,2024-06,382,6827,0.737
A0117,2024-01,386,9078,0.348
A0117,2024-02,354,8828,0.556
A0117,2024-03,355,7221,0.316
A0117,2024-04,324,3445,0.396
A0117,2024-05,310,7000,0.67
A0117,2024-06,299,5040,0.287
A0118,2024-01,347,7405,0.686
A0118,2024-02,365,7950,0.821
A0118,2024-03,365,7348,0.624
A0118,2024-04,342,2789,0.42
A0118,2024-05,372,7925,0.641
A0118,2024-06,385,9380,0.793
A0119,2024-01,109,2477,0.501
A0119,2024-02,108,2476,0.341
A0119,2024-03,64,1546,0.333
A0119,2024-04,60,924,0.734
A0119,2024-05,48,1156,0.386
A0119,2024-06,40,345,0.537
A0120,2024-01,174,1510,0.324
A0120,2024-02,169,2666,0.445
A0120,2024-03,160,2105,0.363
A0120,2024-04,110,1728,0.423
A0120,2024-05,106,1604,0.447
A0120,2024-06,114,1735,0.398
A0121,2024-01,371,6366,0.257
A0121,2024-02,370,8140,0.473
A0121,2024-03,338,7678,0.233
A0121,2024-04,321,3974,0.415
A0121,2024-05,290,3786,0.073
A0121,2024-06,276,6272,0.474
A0122,2024-01,386,3722,0.641
A0122,2024-02,377,5454,0.746
A0122,2024-03,409,9582,0.675
A0122,2024-04,395,8937,0.587
A0122,2024-05,395,7286,0.78
A0122,2024-06,398,3381,0.517
A0123,2024-01,160,2796,0.572
A0123,2024-02,164,3954,0.349
A0123,2024-03,158,1410,0.454
A0123,2024-04,160,2828,0.535
A0123,2024-05,173,4115,0.396
A0123,2024-06,187,1797,0.263
A0124,2024-01,223,5449,0.672
A0124,2024-02,223,4366,0.787
A0124,2024-03,200,4241,0.442
A0124,2024-04,213,2536,0.809
A0124,2024-05,217,3584,1.0
A0124,2024-06,214,4581,0.4
A0125,2024-01,380,5094,0.557
A0125,2024-02,385,7441,0.33
A0125,2024-03,359,5620,0.218
A0125,2024-04,348,4606,0.223
A0125,2024-05,345,3111,0.201
A0125,2024-06,318,7294,0.411
A0126,2024-01,75,1851,0.161
A0126,2024-02,52,1017,0.753
A0126,2024-03,45,859,0.166
A0126,2024-04,1,15,0.146
A0126,2024-05,1,12,0.37
A0126,2024-06,1,24,0.488
A0127,2024-01,112,1817,0.727
A0127,2024-02,112,1256,0.297
A0127,2024-03,101,1967,0.534
A0127,2024-04,120,2100,0.779
A0127,2024-05,151,3404,0.484
A0127,2024-06,153,1364,0.429
A0128,2024-01,66,1159,0.619
A0128,2024-02,57,1033,0.505
A0128,2024-03,47,442,0.783
A0128,2024-04,62,1105,0.708
A0128,2024-05,87,1040,0.528
A0128,2024-06,77,1668,0.608
A0129,2024-01,54,438,0.127
A0129,2024-02,17,306,0.239
A0129,2024-03,50,1237,0.274
A0129,2024-04,34,615,0.253
A0129,2024-05,1,20,0.355
A0129,2024-06,1,12,0.178
A0130,2024-01,181,2358,0.322
A0130,2024-02,186,2250,0.688
A0130,2024-03,177,1530,0.875
A0130,2024-04,182,2345,0.638
A0130,2024-05,164,2585,0.699
A0130,2024-06,192,3112,0.511
A0131,2024-01,407,7144,0.408
