account_id,account_name,plan,region,seats,mrr,contract_start,churned,churn_reason_code,days_to_observed_churn
A0188,Acme Tenant 0188,Starter,NA,63,468.0,2023-10-09,0,none,-1
A0189,Acme Tenant 0189,Starter,EU,74,546.0,2024-01-23,0,none,-1
A0190,Acme Tenant 0190,Enterprise,APAC,43,3992.0,2023-03-13,0,none,-1
A0191,Acme Tenant 0191,Starter,EU,23,156.0,2023-09-14,1,none,105
A0192,Acme Tenant 0192,Pro,NA,48,1071.0,2023-07-30,0,none,-1
A0193,Acme Tenant 0193,Pro,EU,34,714.0,2023-06-26,0,none,-1
A0194,Acme Tenant 0194,Pro,EU,16,357.0,2023-02-01,1,low_usage,54
A0195,Acme Tenant 0195,Starter,EU,41,312.0,2023-10-12,1,low_usage,95
A0196,Acme Tenant 0196,Starter,NA,6,39.0,2023-07-17,1,low_usage,51
A0197,Acme Tenant 0197,Pro,EU,65,1547.0,2023-09-28,0,none,-1
A0198,Acme Tenant 0198,Starter,APAC,46,351.0,2023-06-29,1,competitor,116
A0199,Acme Tenant 0199,Enterprise,NA,123,11976.0,2024-05-03,1,none,45
A0200,Acme Tenant 0200,Pro,EU,50,1190.0,2024-03-12,0,none,-1
A0201,Acme Tenant 0201,Pro,EU,69,1547.0,2024-01-22,0,none,-1
A0202,Acme Tenant 0202,Pro,NA,57,1309.0,2023-12-17,0,none,-1
A0203,Acme Tenant 0203,Starter,APAC,29,195.0,2023-11-16,0,none,-1
A0204,Acme Tenant 0204,Enterprise,NA,132,12974.0,2024-04-20,0,none,-1
A0205,Acme Tenant 0205,Starter,NA,62,468.0,2024-01-16,1,competitor,79
A0206,Acme Tenant 0206,Pro,EU,36,833.0,2023-03-30,1,competitor,25
A0207,Acme Tenant 0207,Pro,NA,75,1785.0,2023-05-08,1,price,48
A0208,Acme Tenant 0208,Enterprise,NA,87,8483.0,2023-10-23,1,price,9
A0209,Acme Tenant 0209,Pro,APAC,15,357.0,2023-07-11,1,support,28
A0210,Acme Tenant 0210,Starter,EU,19,117.0,2023-03-20,1,none,95
A0211,Acme Tenant 0211,Starter,APAC,7,39.0,2024-04-17,0,none,-1
A0212,Acme Tenant 0212,Starter,APAC,77,585.0,2023-02-11,0,none,-1
A0213,Acme Tenant 0213,Enterprise,APAC,128,12475.0,2023-11-30,0,none,-1
A0214,Acme Tenant 0214,Starter,NA,7,39.0,2023-12-30,1,low_usage,71
A0215,Acme Tenant 0215,Starter,EU,50,390.0,2023-02-13,0,none,-1
A0216,Acme Tenant 0216,Pro,NA,6,119.0,2024-02-17,0,none,-1
A0217,Acme Tenant 0217,Starter,NA,70,546.0,2024-02-13,1,competitor,115
A0218,Acme Tenant 0218,Pro,EU,7,119.0,2023-01-01,0,none,-1
A0219,Acme Tenant 0219,Enterprise,NA,160,15968.0,2023-03-24,1,support,105
A0220,Acme Tenant 0220,Starter,EU,76,585.0,2023-08-06,1,competitor,63
A0221,Acme Tenant 0221,Enterprise,NA,37,3493.0,2023-12-19,1,price,37
A0222,Acme Tenant 0222,Pro,EU,51,1190.0,2024-02-15,0,none,-1
A0223,Acme Tenant 0223,Pro,NA,52,1190.0,2023-01-12,1,low_usage,50
A0224,Acme Tenant 0224,Pro,NA,34,714.0,2023-11-01,1,none,31
A0225,Acme Tenant 0225,Starter,NA,57,429.0,2023-04-10,1,competitor,107
A0226,Acme Tenant 0226,Starter,EU,62,468.0,2023-04-15,1,competitor,31
A0227,Acme Tenant 0227,Starter,EU,15,117.0,2024-05-05,0,none,-1
A0228,Acme Tenant 0228,Starter,APAC,31,234.0,2023-11-20,1,support,32
A0229,Acme Tenant 0229,Pro,NA,55,1309.0,2023-03-12,1,competitor,111
A0230,Acme Tenant 0230,Starter,EU,58,429.0,2024-04-14,1,price,6
A0231,Acme Tenant 0231,Enterprise,EU,90,8982.0,2023-06-15,0,none,-1
A0232,Acme Tenant 0232,Starter,EU,51,390.0,2023-04-02,0,none,-1
A0233,Acme Tenant 0233,Enterprise,NA,37,3493.0,2023-04-29,1,price,11
A0234,Acme Tenant 0234,Pro,APAC,37,833.0,2023-12-20,1,support,67
A0235,Acme Tenant 0235,Starter,EU,32,234.0,2023-05-14,0,none,-1
A0236,Acme Tenant 0236,Enterprise,APAC,241,23952.0,2023-10-05,0,none,-1
A0237,Acme Tenant 0237,Starter,NA,43,312.0,2023-09-29,1,competitor,36
A0238,Acme Tenant 0238,Enterprise,NA,7,499.0,2023-09-06,0,none,-1
A0239,Acme Tenant 0239,Starter,NA,8,39.0,2023-06-24,1,price,102
A0240,Acme Tenant 0240,Starter,NA,37,273.0,2023-01-03,0,none,-1
A0241,Acme Tenant 0241,Starter,NA,23,156.0,2023-10-17,0,none,-1
A0242,Acme Tenant 0242,Starter,APAC,65,507.0,2023-11-15,1,none,74
A0243,Acme Tenant 0243,Starter,EU,67,507.0,2024-03-30,0,none,-1
A0244,Acme Tenant 0244,Starter,NA,64,468.0,2024-02-04,1,support,50
A0245,Acme Tenant 0245,Starter,EU,14,78.0,2023-05-25,0,none,-1
A0246,Acme Tenant 0246,Starter,EU,41,312.0,2024-05-06,1,support,52
A0247,Acme Tenant 0247,Starter,APAC,67,507.0,2023-11-13,0,none,-1
A0248,Acme Tenant 0248,Pro,EU,35,833.0,2023-01-11,1,low_usage,112
A0249,Acme Tenant 0249,Pro,EU,24,476.0,2024-03-11,1,price,70
A0250,Acme Tenant 0250,Pro,EU,59,1309.0,2024-02-14,0,none,-1
A0251,Acme Tenant 0251,Pro,NA,55,1309.0,2023-01-26,0,none,-1
A0252,Acme Tenant 0252,Starter,NA,51,390.0,2023-05-25,1,none,102
A0253,Acme Tenant 0253,Starter,EU,4,39.0,2023-06-12,1,none,67
A0254,Acme Tenant 0254,Pro,EU,48,1071.0,2023-01-20,1,competitor,42
A0255,Acme Tenant 0255,Starter,NA,61,468.0,2023-04-10,1,none,94
A0256,Acme Tenant 0256,Starter,APAC,1,39.0,2023-04-01,0,none,-1
A0257,Acme Tenant 0257,Starter,APAC,31,234.0,2024-04-22,1,low_usage,7
A0258,Acme Tenant 0258,Starter,NA,68,507.0,2024-02-11,1,price,109
A0259,Acme Tenant 0259,Pro,NA,15,357.0,2023-01-07,0,none,-1
A0260,Acme Tenant 0260,Starter,EU,3,39.0,2024-04-15,1,low_usage,33
A0261,Acme Tenant 0261,Pro,EU,49,1071.0,2023-12-21,0,none,-1
A0262,Acme Tenant 0262,Starter,NA,5,39.0,2023-05-09,0,none,-1
A0263,Acme Tenant 0263,Starter,NA,20,156.0,2024-04-15,1,price,84
A0264,Acme Tenant 0264,Pro,NA,10,238.0,2024-01-20,1,none,7
A0265,Acme Tenant 0265,Pro,EU,73,1666.0,2023-09-28,0,none,-1
A0266,Acme Tenant 0266,Pro,EU,52,1190.0,2024-03-21,0,none,-1
A0267,Acme Tenant 0267,Pro,EU,40,952.0,2023-07-04,0,none,-1
A0268,Acme Tenant 0268,Pro,APAC,9,119.0,2023-05-27,1,competitor,45
A0269,Acme Tenant 0269,Enterprise,NA,27,2495.0,2023-03-19,1,support,88
A0270,Acme Tenant 0270,Starter,EU,53,390.0,2023-02-07,1,price,33
A0271,Acme Tenant 0271,Starter,NA,70,546.0,2024-02-07,0,none,-1
A0272,Acme Tenant 0272,Pro,EU,19,357.0,2023-01-10,1,low_usage,27
A0273,Acme Tenant 0273,Starter,APAC,44,312.0,2023-04-07,1,low_usage,29
A0274,Acme Tenant 0274,Starter,NA,11,78.0,2023-11-06,0,none,-1
A0275,Acme Tenant 0275,Starter,NA,2,39.0,2023-12-01,0,none,-1
A0276,Acme Tenant 0276,Enterprise,NA,24,1996.0,2023-02-02,0,none,-1
A0277,Acme Tenant 0277,Starter,NA,9,39.0,2024-01-13,1,support,75
A0278,Acme Tenant 0278,Pro,NA,66,1547.0,2023-09-03,0,none,-1
A0279,Acme Tenant 0279,Starter,NA,12,78.0,2023-01-18,1,low_usage,29
A0280,Acme Tenant 0280,Starter,NA,57,429.0,2023-05-20,0,none,-1
A0281,Acme Tenant 0281,Starter,EU,15,117.0,2024-03-29,0,none,-1
A0282,Acme Tenant 0282,Pro,EU,9,119.0,2024-02-14,1,price,12
A0283,Acme Tenant 0283,Starter,NA,79,585.0,2023-09-25,1,competitor,40
A0284,Acme Tenant 0284,Pro,NA,60,1428.0,2023-06-08,1,competitor,115
A0285,Acme Tenant 0285,Pro,EU,2,119.0,2023-06-14,0,none,-1
A0286,Acme Tenant 0286,Enterprise,EU,107,10479.0,2024-02-09,0,none,-1
A0287,Acme Tenant 0287,Starter,NA,67,507.0,2023-08-16,0,none,-1
A0288,Acme Tenant 0288,Pro,APAC,6,119.0,2023-11-18,1,competitor,69
A0289,Acme Tenant 0289,Starter,APAC,72,546.0,2023-01-05,1,low_usage,75
A0290,Acme Tenant 0290,Pro,NA,57,1309.0,2023-10-01,0,none,-1
A0291,Acme Tenant 0291,Pro,NA,56,1309.0,2023-09-28,1,low_usage,18
A0292,Acme Tenant 0292,Pro,NA,69,1547.0,2024-01-17,0,none,-1
A0293,Acme Tenant 0293,Enterprise,APAC,192,18962.0,2023-09-02,0,none,-1
A0294,Acme Tenant 0294,Starter,NA,68,507.0,2023-01-01,1,competitor,79
A0295,Acme Tenant 0295,Pro,NA,75,1785.0,2023-01-25,1,none,48
A0296,Acme Tenant 0296,Starter,NA,13,78.0,2024-01-21,0,none,-1
A0297,Acme Tenant 0297,Pro,APAC,9,119.0,2023-12-12,0,none,-1
A0298,Acme Tenant 0298,Starter,NA,29,195.0,2023-04-14,0,none,-1
A0299,Acme Tenant 0299,Starter,NA,73,546.0,2023-05-27,0,none,-1
A0300,Acme Tenant 0300,Starter,NA,4,39.0,2024-03-29,0,none,-1
A0301,Acme Tenant 0301,Starter,EU,59,429.0,2024-02-23,0,none,-1
A0302,Acme Tenant 0302,Pro,APAC,72,1666.0,2024-04-27,0,none,-1
A0303,Acme Tenant 0303,Starter,EU,15,117.0,2023-10-23,1,support,41
A0304,Acme Tenant 0304,Starter,NA,49,351.0,2023-06-22,1,price,66
A0305,Acme Tenant 0305,Enterprise,NA,-2,5489.0,2023-07-17,0,none,-1
A0306,Acme Tenant 0306,Pro,EU,8,119.0,2023-09-11,1,competitor,78
A0307,Acme Tenant 0307,Pro,EU,56,1309.0,2023-09-04,1,competitor,104
A0308,Acme Tenant 0308,Pro,EU,1,119.0,2023-01-23,1,low_usage,54
A0309,Acme Tenant 0309,Pro,EU,64,1428.0,2023-10-31,0,none,-1
A0310,Acme Tenant 0310,Starter,NA,6,39.0,2024-03-17,1,low_usage,83
A0311,Acme Tenant 0311,Pro,NA,20,476.0,2023-05-04,1,price,92
A0312,Acme Tenant 0312,Starter,EU,27,195.0,2023-01-20,0,none,-1
A0313,Acme Tenant 0313,Enterprise,APAC,197,19461.0,2023-05-04,0,none,-1
A0314,Acme Tenant 0314,Starter,APAC,33,234.0,2024-02-23,1,price,95
A0315,Acme Tenant 0315,Pro,NA,34,714.0,2024-02-26,0,none,-1
A0316,Acme Tenant 0316,Starter,NA,48,351.0,2024-02-20,1,support,78
A0317,Acme Tenant 0317,Pro,NA,54,1190.0,2023-04-05,0,none,-1
A0318,Acme Tenant 0318,Pro,NA,71,1666.0,2024-02-13,0,none,-1
A0319,Acme Tenant 0319,Pro,EU,5,119.0,2023-04-13,1,competitor,51
A0320,Acme Tenant 0320,Pro,APAC,49,1071.0,2023-04-01,0,none,-1
A0321,Acme Tenant 0321,Starter,NA,11,78.0,2023-07-19,1,support,25
A0322,Acme Tenant 0322,Pro,EU,33,714.0,2023-12-24,1,price,49
A0323,Acme Tenant 0323,Starter,APAC,16,117.0,2023-08-25,1,none,79
A0324,Acme Tenant 0324,Pro,APAC,74,1666.0,2024-01-19,0,none,-1
