order_id,order_date,customer_id,product_id,quantity,revenue,status,channel
O10029,2024-01-04,C0207,HW-CABLE,5,167.28,completed,sales_assisted
O10030,2024-01-04,C0067,SUB-ADDON,1,26.05,completed,web
O10031,2024-01-04,C0174,HW-SENSOR,5,997.31,completed,sales_assisted
O10032,2024-01-04,C0010,SUB-ADDON,4,109.65,completed,sales_assisted
O10033,2024-01-04,C0072,HW-CABLE,5,180.34,completed,web
O10034,2024-01-04,C0067,SUB-ADDON,2,56.87,completed,web
O10035,2024-01-05,C0076,SVC-TRAIN,1,677.27,completed,web
O10036,2024-01-05,C0112,SUB-PRO,2,222.68,completed,web
O10037,2024-01-05,C0187,SUB-ENTERPRISE,1,348.06,completed,web
O10038,2024-01-05,C0069,SUB-PRO,4,459.96,completed,web
O10039,2024-01-05,C0124,HW-CABLE,1,30.53,completed,web
O10040,2024-01-05,C0232,HW-SENSOR,3,625.61,completed,web
O10041,2024-01-05,C0148,SVC-IMPL,3,2435.59,completed,web
O10042,2024-01-05,C0029,HW-CABLE,3,103.6,completed,web
O10043,2024-01-06,C0085,SUB-PRO,1,121.54,completed,web
O10044,2024-01-06,C0072,SUB-ENTERPRISE,2,-423.19,refunded,web
O10045,2024-01-06,C0184,HW-GATEWAY,1,467.53,completed,sales_assisted
O10046,2024-01-06,C9999,SVC-IMPL,4,3063.41,completed,sales_assisted
O10047,2024-01-07,C0275,SUB-BASIC,5,250.17,completed,partner
O10048,2024-01-07,C0026,HW-SENSOR,3,640.65,completed,web
O10049,2024-01-07,C0269,SUB-ENTERPRISE,1,402.93,completed,web
O10050,2024-01-07,C0068,SVC-AUDIT,3,4110.87,completed,web
O10051,2024-01-07,C0167,SVC-AUDIT,2,2649.29,completed,sales_assisted
O10052,2024-01-07,C0269,SUB-PRO,4,,completed,sales_assisted
O10053,2024-01-08,C0019,SUB-BASIC,1,48.44,completed,web
O10054,2024-01-08,C0082,SVC-TRAIN,2,1109.31,completed,sales_assisted
O10055,2024-01-08,C0141,SUB-ENTERPRISE,1,410.75,completed,web
O10056,2024-01-08,C0006,SVC-RETAINER,1,1032.12,completed,web
O10057,2024-01-08,C0086,HW-SENSOR,4,-678.03,refunded,web
O10058,2024-01-08,C0264,HW-GATEWAY,5,2333.17,completed,web
O10059,2024-01-08,C0211,SUB-BASIC,4,195.05,completed,sales_assisted
O10060,2024-01-08,C0272,SUB-BASIC,1,-40.98,refunded,web
O10061,2024-01-09,C0052,HW-SENSOR,5,1130.72,completed,sales_assisted
O10062,2024-01-09,C0043,SVC-TRAIN,1,677.5,completed,web
O10063,2024-01-09,C0037,SVC-AUDIT,5,6693.22,completed,sales_assisted
O10064,2024-01-09,C0210,HW-BUNDLE,5,3471.79,completed,sales_assisted
O10065,2024-01-09,C0078,SUB-ENTERPRISE,3,1153.89,completed,partner
O10066,2024-01-09,C0227,SVC-TRAIN,5,3281.26,completed,web
O10067,2024-01-09,C0081,HW-BUNDLE,3,2353.15,completed,sales_assisted
O10068,2024-01-09,C0255,SVC-IMPL,5,4180.17,completed,sales_assisted
O10069,2024-01-09,C0213,SUB-ENTERPRISE,2,774.34,completed,web
O10070,2024-01-10,C0019,SVC-TRAIN,2,,completed,web
O10071,2024-01-10,C0247,HW-SENSOR,4,807.75,completed,web
O10072,2024-01-10,C0266,SVC-AUDIT,3,4617.93,completed,web
O10073,2024-01-10,C0114,HW-GATEWAY,1,458.11,completed,web
O10074,2024-01-10,C0056,SUB-PRO,1,134.4,completed,web
O10075,2024-01-10,C0201,SVC-AUDIT,1,1350.73,completed,sales_assisted
O10076,2024-01-10,C0252,SUB-BASIC,4,205.2,completed,partner
O10077,2024-01-10,C0107,SUB-ENTERPRISE,1,350.15,completed,sales_assisted
O10078,2024-01-10,C0039,SVC-IMPL,5,4380.08,completed,web
O10079,2024-01-11,C0007,SUB-BASIC,3,150.0,completed,sales_assisted
O10080,2024-01-11,C0021,SVC-RETAINER,2,2218.2,completed,sales_assisted
O10081,2024-01-11,C0067,HW-GATEWAY,1,498.39,completed,partner
O10082,2024-01-11,C0189,SUB-ENTERPRISE,1,360.26,completed,web
O10083,2024-01-11,C0049,SUB-ENTERPRISE,1,358.72,completed,partner
O10084,2024-01-11,C0090,SVC-TRAIN,5,2983.06,completed,web
O10085,2024-01-11,C0060,HW-SENSOR,2,456.72,completed,sales_assisted
O10086,2024-01-11,C0257,SVC-TRAIN,3,1848.84,completed,web
O10087,2024-01-11,C0036,SUB-PRO,2,225.78,completed,web
O10088,2024-01-11,C0167,SVC-TRAIN,5,2868.82,completed,web
O10089,2024-01-12,C0145,HW-CABLE,1,30.58,completed,web
O10090,2024-01-12,C0153,SUB-BASIC,1,45.57,completed,web
O10091,2024-01-12,C0185,HW-SENSOR,5,1115.03,completed,web
O10092,2024-01-12,C0163,SUB-PRO,5,592.29,completed,web
O10093,2024-01-12,C0137,SVC-AUDIT,4,5847.25,completed,sales_assisted
O10094,2024-01-12,C0021,HW-GATEWAY,2,900.09,completed,web
O10095,2024-01-12,C0099,SUB-ENTERPRISE,5,1807.83,completed,web
O10096,2024-01-12,C0106,SVC-AUDIT,3,4394.05,completed,partner
O10097,2024-01-13,C0226,SUB-ENTERPRISE,3,1127.84,completed,sales_assisted
O10098,2024-01-13,C0019,HW-BUNDLE,3,2340.03,completed,web
O10099,2024-01-13,C0152,SUB-BASIC,5,210.22,completed,partner
O10100,2024-01-13,C0271,SVC-IMPL,4,3774.1,completed,sales_assisted
O10101,2024-01-14,C0070,SVC-IMPL,5,4154.7,completed,web
O10102,2024-01-14,C0115,HW-BUNDLE,1,713.84,completed,web
O10103,2024-01-14,C0273,HW-SENSOR,4,808.26,completed,web
O10104,2024-01-14,C0061,SUB-PRO,5,634.36,completed,sales_assisted
O10105,2024-01-15,C0101,SVC-RETAINER,5,5337.37,completed,partner
O10106,2024-01-15,C0033,HW-SENSOR,2,432.77,completed,web
O10107,2024-01-15,C0058,SVC-AUDIT,2,2954.84,completed,web
O10108,2024-01-15,C0146,HW-CABLE,3,103.98,completed,sales_assisted
O10109,2024-01-15,C0252,HW-GATEWAY,2,877.53,completed,web
O10110,2024-01-15,C0151,HW-BUNDLE,4,2563.94,completed,partner
O10111,2024-01-15,C0200,HW-GATEWAY,2,995.7,completed,web
O10112,2024-01-15,C0262,SVC-RETAINER,3,3412.67,completed,web
O10113,2024-01-16,C0174,HW-CABLE,5,181.09,completed,partner
O10114,2024-01-16,C0235,HW-GATEWAY,5,2406.04,completed,web
O10115,2024-01-16,C0086,HW-BUNDLE,2,1468.45,completed,web
O10116,2024-01-16,C0244,HW-CABLE,2,62.56,completed,partner
O10117,2024-01-16,C0092,SVC-IMPL,1,766.35,completed,sales_assisted
O10118,2024-01-16,C0031,SVC-IMPL,2,1808.76,completed,web
O10119,2024-01-16,C0024,HW-CABLE,5,155.49,completed,web
O10120,2024-01-16,C0076,SUB-ENTERPRISE,5,2087.1,completed,web
O10121,2024-01-16,C0140,SVC-AUDIT,4,5424.76,completed,sales_assisted
O10122,2024-01-16,C0104,HW-SENSOR,4,779.04,completed,sales_assisted
O10123,2024-01-17,C0225,HW-GATEWAY,2,941.32,completed,partner
O10124,2024-01-17,C0169,SVC-AUDIT,3,3910.68,completed,partner
O10125,2024-01-17,C0041,HW-BUNDLE,2,1402.43,completed,sales_assisted
O10126,2024-01-17,C0251,SUB-BASIC,2,98.73,completed,sales_assisted
O10127,2024-01-17,C0146,HW-GATEWAY,2,959.77,completed,web
O10128,2024-01-17,C0043,HW-BUNDLE,5,3295.43,completed,web
O10129,2024-01-17,C0141,HW-CABLE,2,60.45,completed,web
O10130,2024-01-17,C0273,SUB-BASIC,3,147.72,completed,sales_assisted
O10131,2024-01-17,C0193,SUB-ENTERPRISE,2,701.74,completed,sales_assisted
O10132,2024-01-17,C0052,SUB-ADDON,3,88.2,completed,web
O10133,2024-01-18,C0164,SUB-BASIC,2,98.05,completed,sales_assisted
O10134,2024-01-18,C0233,HW-GATEWAY,2,858.08,completed,sales_assisted
O10135,2024-01-18,C0154,SVC-IMPL,1,780.48,completed,web
O10136,2024-01-18,C0242,HW-CABLE,1,36.68,completed,sales_assisted
O10137,2024-01-18,C0112,SVC-IMPL,3,2507.18,completed,partner
O10138,2024-01-18,C0251,SVC-AUDIT,3,4023.72,completed,web
O10139,2024-01-18,C0110,SUB-ADDON,4,111.74,completed,sales_assisted
O10140,2024-01-18,C0058,HW-CABLE,3,90.29,completed,web
O10141,2024-01-18,C0225,HW-SENSOR,2,,completed,sales_assisted
O10142,2024-01-19,C0083,HW-GATEWAY,2,867.97,completed,web
O10143,2024-01-19,C0239,SUB-BASIC,4,-89.23,refunded,partner
O10144,2024-01-19,C0093,HW-SENSOR,4,778.27,completed,web
O10145,2024-01-19,C0264,SVC-RETAINER,5,5171.38,completed,sales_assisted
O10146,2024-01-19,C0200,SUB-PRO,1,127.18,completed,web
O10147,2024-01-19,C0109,SVC-TRAIN,1,575.4,completed,partner
O10148,2024-01-19,C0049,SUB-ADDON,2,53.48,completed,web
O10149,2024-01-19,C0237,HW-BUNDLE,5,3341.54,completed,partner
O10150,2024-01-19,C0078,SVC-IMPL,1,784.33,completed,sales_assisted
O10151,2024-01-20,C0176,SUB-ADDON,5,145.12,completed,web
O10152,2024-01-20,C0026,SVC-AUDIT,3,4186.14,completed,partner
O10153,2024-01-20,C0224,SUB-ENTERPRISE,3,1210.45,completed,partner
O10154,2024-01-20,C0209,SUB-PRO,3,404.1,completed,web
O10155,2024-01-20,C0280,SUB-PRO,3,338.86,completed,web
O10156,2024-01-21,C0205,HW-GATEWAY,5,2322.88,completed,web
O10157,2024-01-21,C0128,HW-GATEWAY,5,2484.85,completed,web
O10158,2024-01-21,C0022,HW-CABLE,2,65.81,completed,web
O10159,2024-01-21,C0213,HW-BUNDLE,2,1371.21,completed,web
O10160,2024-01-21,C0232,HW-SENSOR,1,194.31,completed,web
O10161,2024-01-21,C0103,SUB-BASIC,4,196.22,completed,sales_assisted
O10162,2024-01-22,C0156,SUB-UNKNOWN,1,639.46,completed,partner
O10163,2024-01-22,C0263,HW-BUNDLE,2,1552.17,completed,web
O10164,2024-01-22,C0061,SVC-TRAIN,5,-2646.72,refunded,partner
O10165,2024-01-22,C0174,SUB-BASIC,3,-120.9,refunded,web
O10166,2024-01-22,C0066,SVC-AUDIT,5,7222.62,completed,web
O10167,2024-01-22,C0202,HW-GATEWAY,4,1822.69,completed,partner
O10168,2024-01-22,C0118,SVC-IMPL,4,3195.08,completed,partner
O10169,2024-01-22,C0192,SUB-BASIC,2,85.28,completed,web
O10170,2024-01-22,C0073,HW-GATEWAY,4,1865.17,completed,web
O10171,2024-01-23,C0067,SUB-ADDON,1,29.26,completed,web
O10172,2024-01-23,C0156,HW-BUNDLE,2,-1094.98,refunded,web
O10173,2024-01-23,C0044,HW-CABLE,3,103.28,completed,sales_assisted
O10174,2024-01-23,C0166,SVC-RETAINER,1,1130.81,completed,web
O10175,2024-01-23,C0104,SVC-TRAIN,3,1791.72,completed,partner
O10176,2024-01-23,C0049,SUB-ENTERPRISE,3,1211.12,completed,web
O10177,2024-01-23,C0051,SUB-BASIC,5,239.33,completed,web
O10178,2024-01-23,C0225,SUB-BASIC,1,46.89,completed,partner
O10179,2024-01-23,C0037,SUB-ADDON,2,52.8,completed,web
O10180,2024-01-23,C0201,HW-CABLE,5,178.06,completed,web
O10181,2024-01-24,C0155,SUB-BASIC,1,46.89,completed,sales_assisted
O10182,2024-01-24,C0065,SVC-AUDIT,4,5175.74,completed,web
O10183,2024-01-24,C0176,SUB-PRO,1,117.03,completed,web
O10184,2024-01-24,C0179,SVC-TRAIN,1,660.4,completed,sales_assisted
O10185,2024-01-24,C0254,SVC-RETAINER,5,5252.32,completed,web
O10186,2024-01-24,C0088,SVC-TRAIN,5,3394.17,completed,web
O10187,2024-01-24,C0024,SVC-RETAINER,3,3338.17,completed,web
O10188,2024-01-24,C0016,SVC-RETAINER,4,4828.68,completed,partner
O10189,2024-01-25,C0148,SVC-RETAINER,1,1057.81,completed,partner
O10190,2024-01-25,C0178,SUB-BASIC,2,93.41,completed,partner
O10191,2024-01-25,C0243,HW-CABLE,3,92.48,completed,web
O10192,2024-01-25,C0139,SVC-AUDIT,3,4646.2,completed,sales_assisted
O10193,2024-01-25,C0171,HW-CABLE,3,102.22,completed,partner
O10194,2024-01-25,C0080,HW-CABLE,2,60.77,completed,web
O10195,2024-01-25,C0196,SVC-AUDIT,5,7531.16,completed,web
O10196,2024-01-25,C0196,SVC-TRAIN,2,1274.83,completed,web
O10197,2024-01-26,C0141,SUB-BASIC,4,173.22,completed,web
O10198,2024-01-26,C0135,SUB-ENTERPRISE,3,1141.83,completed,web
O10199,2024-01-26,C0050,HW-CABLE,5,165.77,completed,web
O10200,2024-01-26,C0197,SUB-PRO,4,462.13,completed,web
O10201,2024-01-26,C0037,SVC-AUDIT,5,7078.51,completed,web
O10202,2024-01-26,C0012,SVC-IMPL,5,4408.37,completed,web
O10203,2024-01-26,C0066,SVC-AUDIT,4,6127.47,completed,web
O10204,2024-01-26,C0104,HW-CABLE,4,145.9,completed,web
O10205,2024-01-26,C0271,SVC-RETAINER,5,5706.91,completed,web
O10206,2024-01-26,C0179,HW-BUNDLE,3,1971.52,completed,sales_assisted
O10207,2024-01-27,C0095,SUB-BASIC,2,88.64,completed,partner
O10208,2024-01-27,C0071,SVC-AUDIT,1,1334.3,completed,web
O10209,2024-01-27,C0257,SVC-IMPL,4,3569.87,completed,web
O10210,2024-01-27,C0254,SUB-BASIC,3,129.28,completed,web
O10211,2024-01-27,C0077,SVC-IMPL,4,3567.62,completed,web
O10212,2024-01-27,C0270,HW-GATEWAY,4,1919.23,completed,web
O10213,2024-01-28,C0137,SVC-RETAINER,2,2213.19,completed,web
O10214,2024-01-28,C0218,SUB-PRO,4,516.18,completed,web
O10215,2024-01-28,C0217,SUB-PRO,1,120.97,completed,web
O10216,2024-01-28,C0098,SUB-PRO,3,400.93,completed,sales_assisted
O10217,2024-01-28,C0102,SUB-ADDON,5,152.22,completed,partner
O10218,2024-01-29,C0186,HW-BUNDLE,4,2826.56,completed,web
O10219,2024-01-29,C0037,SVC-IMPL,3,2514.98,completed,sales_assisted
O10220,2024-01-29,C0237,HW-BUNDLE,5,3268.99,completed,sales_assisted
O10221,2024-01-29,C0238,SUB-ENTERPRISE,4,1635.23,completed,web
O10222,2024-01-29,C0044,SUB-PRO,3,349.7,completed,partner
O10223,2024-01-29,C0261,SUB-ENTERPRISE,5,1813.97,completed,web
O10224,2024-01-29,C0259,SUB-BASIC,1,50.95,completed,sales_assisted
O10225,2024-01-29,C0206,SUB-ADDON,4,102.67,completed,web
O10226,2024-01-29,C0237,SVC-RETAINER,5,5268.07,completed,sales_assisted
O10227,2024-01-29,C0021,SUB-BASIC,5,255.51,completed,web
O10228,2024-01-30,C0209,HW-BUNDLE,4,3015.47,completed,web
O10229,2024-01-30,C0110,HW-GATEWAY,5,-1591.07,refunded,partner
O10230,2024-01-30,C0023,SVC-TRAIN,2,1239.92,completed,web
O10231,2024-01-30,C0187,HW-SENSOR,2,439.74,completed,web
O10232,2024-01-30,C0075,SVC-AUDIT,3,4256.48,completed,sales_assisted
O10233,2024-01-30,C0122,SVC-AUDIT,4,6279.58,completed,web
O10234,2024-01-30,C0231,SVC-RETAINER,1,1195.16,completed,web
O10235,2024-01-30,C0095,SVC-RETAINER,3,3204.4,completed,web
O10236,2024-01-31,C0197,SVC-AUDIT,4,6189.13,completed,web
O10237,2024-01-31,C0030,SVC-RETAINER,1,1052.41,completed,web
O10238,2024-01-31,C0136,SUB-PRO,2,262.99,completed,web
O10239,2024-01-31,C0122,HW-GATEWAY,4,1932.64,completed,partner
O10240,2024-01-31,C0093,HW-CABLE,5,178.44,completed,web
O10241,2024-01-31,C0222,HW-SENSOR,3,642.7,completed,web
O10242,2024-01-31,C0123,HW-BUNDLE,4,3113.11,completed,web
O10243,2024-01-31,C0239,SVC-IMPL,1,899.06,completed,sales_assisted
O10244,2024-02-01,C0016,SUB-ENTERPRISE,3,1074.51,completed,web
O10245,2024-02-01,C0099,SVC-TRAIN,3,1811.59,completed,partner
O10246,2024-02-01,C0271,SVC-AUDIT,4,5913.57,completed,web
O10247,2024-02-01,C0085,SUB-BASIC,4,204.26,completed,partner
O10248,2024-02-01,C0161,SVC-AUDIT,2,2932.93,completed,partner
O10249,2024-02-01,C0082,HW-BUNDLE,1,699.36,completed,web
O10250,2024-02-01,C0146,SVC-IMPL,4,3765.58,completed,web
O10251,2024-02-01,C0144,HW-CABLE,4,128.43,completed,sales_assisted
O10252,2024-02-01,C0092,SUB-ENTERPRISE,5,1783.59,completed,sales_assisted
O10253,2024-02-01,C0127,HW-SENSOR,3,568.29,completed,partner
O10254,2024-02-01,C0060,HW-BUNDLE,5,3896.36,completed,sales_assisted
O10255,2024-02-02,C0162,SVC-TRAIN,3,1948.47,completed,web
O10256,2024-02-02,C0065,SVC-RETAINER,3,3621.07,completed,web
O10257,2024-02-02,C0088,SVC-AUDIT,2,2976.01,completed,sales_assisted
O10258,2024-02-02,C0245,SUB-PRO,3,365.8,completed,sales_assisted
O10259,2024-02-02,C0064,SUB-ADDON,1,29.36,completed,sales_assisted
O10260,2024-02-02,C0190,SUB-PRO,1,134.74,completed,partner
O10261,2024-02-02,C0082,SVC-TRAIN,5,2900.15,completed,web
O10262,2024-02-02,C0123,HW-BUNDLE,1,785.97,completed,web
O10263,2024-02-02,C0234,SUB-PRO,4,518.52,completed,partner
O10264,2024-02-02,C0244,SUB-PRO,4,492.48,completed,web
O10265,2024-02-02,C0110,SVC-AUDIT,1,1325.91,completed,web
O10266,2024-02-03,C0131,SUB-BASIC,4,199.61,completed,sales_assisted
O10267,2024-02-03,C0055,HW-SENSOR,5,952.1,completed,web
O10268,2024-02-03,C0167,SVC-IMPL,3,2786.29,completed,sales_assisted
O10269,2024-02-03,C0079,SUB-ENTERPRISE,2,766.76,completed,sales_assisted
O10270,2024-02-03,C0135,HW-SENSOR,5,1087.58,completed,sales_assisted
O10271,2024-02-03,C0060,HW-SENSOR,1,206.66,completed,web
O10272,2024-02-03,C0267,HW-SENSOR,2,439.38,completed,sales_assisted
O10273,2024-02-04,C0245,HW-SENSOR,1,207.79,completed,sales_assisted
O10274,2024-02-04,C0240,SVC-TRAIN,5,3082.18,completed,sales_assisted
O10275,2024-02-04,C0028,HW-GATEWAY,1,457.51,completed,partner
O10276,2024-02-04,C0222,SVC-RETAINER,3,3397.19,completed,web
O10277,2024-02-04,C0267,SVC-IMPL,3,-1546.67,refunded,sales_assisted
O10278,2024-02-04,C0244,SVC-AUDIT,4,5138.58,completed,web
O10279,2024-02-04,C0068,SUB-ENTERPRISE,5,1945.78,completed,sales_assisted
O10280,2024-02-05,C0005,SVC-AUDIT,2,2688.41,completed,web
O10281,2024-02-05,C0090,HW-BUNDLE,4,3059.84,completed,web
O10282,2024-02-05,C0029,SVC-AUDIT,2,2707.72,completed,partner
O10283,2024-02-05,C0142,SUB-ENTERPRISE,5,1905.93,completed,partner
O10284,2024-02-05,C0180,SUB-ENTERPRISE,2,762.66,completed,web
O10285,2024-02-05,C0219,SVC-IMPL,3,2827.24,completed,partner
O10286,2024-02-05,C0032,SVC-IMPL,5,4113.77,completed,sales_assisted
O10287,2024-02-05,C0216,SUB-PRO,3,378.23,completed,sales_assisted
O10288,2024-02-05,C0203,HW-SENSOR,3,577.79,completed,partner
O10289,2024-02-05,C0084,SVC-AUDIT,3,,completed,sales_assisted
O10290,2024-02-06,C0071,SVC-AUDIT,2,2656.2,completed,web
O10291,2024-02-06,C0071,SVC-TRAIN,1,-571.14,refunded,web
O10292,2024-02-06,C0114,SUB-PRO,4,484.49,completed,web
O10293,2024-02-06,C0132,HW-GATEWAY,4,1636.23,completed,partner
O10294,2024-02-06,C0167,HW-BUNDLE,3,1980.02,completed,sales_assisted
O10295,2024-02-06,C0206,SUB-BASIC,1,50.99,completed,web
O10296,2024-02-06,C0170,SVC-RETAINER,3,3318.96,completed,web
O10297,2024-02-06,C0125,SVC-AUDIT,3,3841.59,completed,sales_assisted
O10298,2024-02-06,C0201,SVC-RETAINER,4,4825.58,completed,sales_assisted
O10299,2024-02-06,C0163,SVC-AUDIT,5,7280.11,completed,web
O10300,2024-02-07,C0188,SVC-AUDIT,3,4197.54,completed,sales_assisted
O10301,2024-02-07,C0161,SUB-PRO,5,574.22,completed,web
O10302,2024-02-07,C0005,SUB-PRO,3,329.88,completed,partner
O10303,2024-02-07,C0007,SUB-PRO,5,673.47,completed,web
O10304,2024-02-07,C0066,HW-CABLE,1,34.05,completed,sales_assisted
O10305,2024-02-07,C0248,SUB-ADDON,1,28.94,completed,sales_assisted
O10306,2024-02-07,C0237,HW-BUNDLE,3,2141.92,completed,partner
O10307,2024-02-07,C0015,HW-SENSOR,4,812.94,completed,web
O10308,2024-02-07,C0038,SUB-PRO,3,385.77,completed,partner
O10309,2024-02-07,C0172,SVC-TRAIN,2,1326.45,completed,sales_assisted
O10310,2024-02-07,C0205,SVC-IMPL,1,889.73,completed,web
O10311,2024-02-08,C0010,HW-GATEWAY,4,1762.46,completed,web
O10312,2024-02-08,C0230,SVC-IMPL,4,3265.29,completed,sales_assisted
O10313,2024-02-08,C0125,HW-GATEWAY,2,901.71,completed,sales_assisted
O10314,2024-02-08,C0052,SUB-PRO,1,132.49,completed,web
O10315,2024-02-08,C0278,SVC-AUDIT,1,1289.21,completed,web
O10316,2024-02-08,C0241,SVC-IMPL,3,2518.75,completed,web
O10317,2024-02-08,C0159,SVC-TRAIN,4,2404.33,completed,web
O10318,2024-02-08,C0237,HW-CABLE,1,31.49,completed,web
O10319,2024-02-08,C0158,SVC-RETAINER,1,1147.31,completed,web
O10320,2024-02-08,C0143,SVC-TRAIN,3,1791.98,completed,web
O10321,2024-02-09,C0167,HW-BUNDLE,5,3204.2,completed,sales_assisted
O10322,2024-02-09,C0024,HW-BUNDLE,4,2929.41,completed,partner
O10323,2024-02-09,C0038,SVC-IMPL,1,845.09,completed,web
O10324,2024-02-09,C0262,HW-SENSOR,1,187.71,completed,sales_assisted
O10325,2024-02-09,C0008,HW-CABLE,2,66.22,completed,web
O10326,2024-02-09,C0033,SUB-PRO,2,268.08,completed,web
O10327,2024-02-09,C0165,SUB-PRO,1,120.58,completed,web
O10328,2024-02-09,C0072,SVC-IMPL,5,4279.09,completed,web
O10329,2024-02-09,C0127,HW-CABLE,2,71.48,completed,web
O10330,2024-02-09,C0262,HW-GATEWAY,2,873.87,completed,web
O10331,2024-02-10,C0092,SVC-IMPL,4,3190.55,completed,web
O10332,2024-02-10,C0223,SUB-BASIC,2,90.14,completed,web
O10333,2024-02-10,C0085,SVC-RETAINER,1,1157.27,completed,partner
O10334,2024-02-10,C0129,SVC-IMPL,2,1544.03,completed,web
O10335,2024-02-10,C0074,SUB-ADDON,4,101.63,completed,partner
O10336,2024-02-10,C0206,SUB-ADDON,4,115.08,completed,partner
O10337,2024-02-11,C0175,HW-GATEWAY,1,457.84,completed,web
O10338,2024-02-11,C0256,SUB-PRO,2,267.17,completed,web
O10339,2024-02-11,C0190,HW-SENSOR,1,197.57,completed,web
O10340,2024-02-11,C0177,SVC-RETAINER,2,2221.74,completed,web
O10341,2024-02-11,C0053,HW-CABLE,2,-31.67,refunded,sales_assisted
O10342,2024-02-11,C0263,HW-GATEWAY,2,912.81,completed,web
O10343,2024-02-11,C0153,SUB-PRO,4,517.52,completed,partner
O10344,2024-02-12,C0197,SUB-ENTERPRISE,4,1614.0,completed,partner
O10345,2024-02-12,C0063,HW-SENSOR,5,1104.42,completed,sales_assisted
O10346,2024-02-12,C0185,HW-CABLE,1,35.14,completed,sales_assisted
O10347,2024-02-12,C0027,HW-SENSOR,2,398.28,completed,web
O10348,2024-02-12,C0126,SUB-ADDON,3,78.56,completed,web
O10349,2024-02-12,C0193,SVC-IMPL,1,925.87,completed,web
O10350,2024-02-12,C0068,SVC-TRAIN,3,1820.42,completed,web
O10351,2024-02-12,C0251,HW-GATEWAY,4,1849.26,completed,sales_assisted
O10352,2024-02-12,C0187,HW-GATEWAY,2,1002.2,completed,partner
O10353,2024-02-12,C0105,SUB-BASIC,1,46.81,completed,sales_assisted
O10354,2024-02-13,C0056,SVC-IMPL,2,1864.66,completed,sales_assisted
O10355,2024-02-13,C0031,HW-GATEWAY,4,1654.6,completed,sales_assisted
O10356,2024-02-13,C0071,SVC-AUDIT,3,4057.7,completed,web
O10357,2024-02-13,C0248,SUB-ADDON,5,149.2,completed,web
O10358,2024-02-13,C0186,HW-CABLE,2,65.7,completed,web
O10359,2024-02-13,C0084,HW-SENSOR,5,1035.18,completed,web
O10360,2024-02-13,C0026,SVC-AUDIT,5,6546.03,completed,partner
O10361,2024-02-13,C0207,SVC-RETAINER,2,2210.48,completed,web
O10362,2024-02-13,C0011,SVC-IMPL,3,2431.79,completed,web
O10363,2024-02-13,C0253,SUB-BASIC,1,48.06,completed,sales_assisted
O10364,2024-02-14,C0254,HW-SENSOR,5,1099.67,completed,web
O10365,2024-02-14,C0093,SUB-PRO,5,617.55,completed,web
O10366,2024-02-14,C0082,SUB-ADDON,2,52.25,completed,web
O10367,2024-02-14,C0165,SUB-PRO,2,239.33,completed,web
O10368,2024-02-14,C0230,SUB-ENTERPRISE,4,1477.53,completed,partner
O10369,2024-02-14,C0248,HW-BUNDLE,1,756.55,completed,web
O10370,2024-02-14,C0136,SVC-IMPL,4,3770.43,completed,web
