customer_id,customer_name,region,segment,signup_date,account_owner
C0129,Customer 0129,North,Enterprise,2023-11-03,Alex
C0130,Customer 0130,South,SMB,2022-11-29,Casey
C0131,Customer 0131,East,SMB,2022-05-15,Eden
C0132,Customer 0132,West,Mid-Market,2023-10-09,Alex
C0133,Customer 0133,North,Enterprise,2023-02-23,Alex
C0134,Customer 0134,South,SMB,2023-02-09,Alex
C0135,Customer 0135,East,SMB,2023-01-14,Alex
C0136,Customer 0136,West,SMB,2022-05-17,Alex
C0137,Customer 0137,North,SMB,2022-10-28,Casey
C0138,Customer 0138,South,Mid-Market,2023-07-17,Blake
C0139,Customer 0139,East,SMB,2023-11-21,Casey
C0140,Customer 0140,West,Enterprise,2023-07-09,Eden
C0141,Customer 0141,North,SMB,2022-12-12,Alex
C0142,Customer 0142,South,SMB,2022-06-09,Blake
C0143,Customer 0143,East,Mid-Market,2023-10-27,Casey
C0144,Customer 0144,West,SMB,2022-01-05,Blake
C0145,Customer 0145,North,Mid-Market,2023-09-18,Alex
C0146,Customer 0146,South,Enterprise,2022-03-16,Alex
C0147,Customer 0147,East,Enterprise,2023-04-28,Alex
C0148,Customer 0148,West,Enterprise,2023-07-15,Eden
C0149,Customer 0149,North,Enterprise,2022-08-13,Eden
C0150,Customer 0150,South,Mid-Market,2023-03-16,Drew
C0151,Customer 0151,East,Mid-Market,2023-06-02,Alex
C0152,Customer 0152,West,Mid-Market,2022-08-15,Casey
C0153,Customer 0153,North,Enterprise,2023-08-07,Casey
C0154,Customer 0154,South,SMB,2023-04-26,Drew
C0155,Customer 0155,East,SMB,2022-02-12,Alex
C0156,Customer 0156,West,Mid-Market,2022-04-26,Casey
C0157,Customer 0157,North,SMB,2022-08-25,Blake
C0158,Customer 0158,South,SMB,2023-05-31,Blake
C0159,Customer 0159,East,SMB,2022-05-09,Drew
C0160,Customer 0160,West,Mid-Market,2023-07-09,Eden
C0161,Customer 0161,North,Enterprise,2023-08-21,Casey
C0162,Customer 0162,South,SMB,2022-11-19,Casey
C0163,Customer 0163,East,Enterprise,2022-12-09,Drew
C0164,Customer 0164,West,Enterprise,2023-01-23,Casey
C0165,Customer 0165,North,Mid-Market,2022-02-20,Blake
C0166,Customer 0166,South,Mid-Market,2022-01-25,Blake
C0167,Customer 0167,East,Mid-Market,2022-12-19,Eden
C0168,Customer 0168,West,SMB,2023-10-29,Drew
C0169,Customer 0169,North,SMB,2023-03-12,Drew
C0170,Customer 0170,South,SMB,2023-01-02,Eden
C0171,Customer 0171,East,SMB,2023-11-03,Eden
C0172,Customer 0172,West,Enterprise,2022-10-12,Casey
C0173,Customer 0173,North,Mid-Market,2023-11-29,Drew
C0174,Customer 0174,South,Enterprise,2022-03-05,Blake
C0175,Customer 0175,East,Mid-Market,2022-02-05,Alex
C0176,Customer 0176,West,Enterprise,2022-04-28,Alex
C0177,Customer 0177,North,Mid-Market,2022-01-06,Casey
C0178,Customer 0178,South,Mid-Market,2023-04-21,Casey
C0179,Customer 0179,East,Mid-Market,2023-10-07,Drew
C0180,Customer 0180,West,Mid-Market,2022-06-14,Casey
C0181,Customer 0181,North,Enterprise,2023-08-15,Alex
C0182,Customer 0182,South,SMB,2023-05-20,Alex
C0183,Customer 0183,East,Mid-Market,2023-05-26,Casey
C0184,Customer 0184,West,Enterprise,2022-05-26,Drew
C0185,Customer 0185,North,SMB,2023-06-01,Eden
C0186,Customer 0186,South,Mid-Market,2023-03-21,Blake
C0187,Customer 0187,East,SMB,2023-01-08,Blake
C0188,Customer 0188,West,SMB,2023-11-04,Alex
C0189,Customer 0189,North,Enterprise,2023-01-24,Casey
C0190,Customer 0190,South,SMB,2022-03-31,Drew
C0191,Customer 0191,East,Mid-Market,2023-10-27,Eden
C0192,Customer 0192,West,Enterprise,2023-03-05,Casey
C0193,Customer 0193,North,SMB,2023-04-02,Eden
C0194,Customer 0194,South,Mid-Market,2023-08-16,Eden
C0195,Customer 0195,East,SMB,2022-07-09,Eden
C0196,Customer 0196,West,Enterprise,2022-03-27,Alex
C0197,Customer 0197,North,Mid-Market,2022-01-23,Drew
C0198,Customer 0198,South,SMB,2022-03-08,Casey
C0199,Customer 0199,East,Enterprise,2022-10-29,Blake
C0200,Customer 0200,West,Mid-Market,2022-08-09,Casey
C0201,Customer 0201,North,SMB,2022-12-27,Eden
C0202,Customer 0202,South,Mid-Market,2023-01-17,Alex
C0203,Customer 0203,East,Enterprise,2022-01-31,Eden
C0204,Customer 0204,West,Mid-Market,2023-06-29,Eden
C0205,Customer 0205,North,SMB,2023-04-12,Eden
C0206,Customer 0206,South,Mid-Market,2022-04-06,Drew
C0207,Customer 0207,East,SMB,2023-04-22,Eden
C0208,Customer 0208,West,SMB,2022-06-22,Blake
C0209,Customer 0209,North,SMB,2023-08-22,Drew
C0210,Customer 0210,South,SMB,2022-01-11,Eden
C0211,Customer 0211,East,Mid-Market,2023-09-29,Alex
C0212,Customer 0212,West,SMB,2022-04-20,Alex
C0213,Customer 0213,North,Mid-Market,2023-11-18,Eden
C0214,Customer 0214,South,SMB,2022-07-21,Eden
C0215,Customer 0215,East,SMB,2023-04-14,Eden
C0216,Customer 0216,West,Enterprise,2022-03-26,Drew
C0217,Customer 0217,North,Mid-Market,2023-07-28,Eden
C0218,Customer 0218,South,SMB,2022-11-16,Blake
C0219,Customer 0219,East,SMB,2023-05-04,Casey
C0220,Customer 0220,West,Enterprise,2023-01-19,Drew
C0221,Customer 0221,North,Enterprise,2022-11-11,Alex
C0222,Customer 0222,South,Mid-Market,2022-02-07,Alex
C0223,Customer 0223,East,SMB,2022-03-11,Drew
C0224,Customer 0224,West,Enterprise,2023-06-09,Drew
C0225,Customer 0225,North,SMB,2022-02-19,Drew
C0226,Customer 0226,South,SMB,2022-06-03,Eden
C0227,Customer 0227,East,Mid-Market,2022-10-16,Alex
C0228,Customer 0228,West,SMB,2023-06-24,Alex
C0229,Customer 0229,North,Enterprise,2023-02-19,Casey
C0230,Customer 0230,South,Mid-Market,2022-06-28,Drew
C0231,Customer 0231,East,Mid-Market,2022-11-09,Alex
C0232,Customer 0232,West,Enterprise,2023-01-14,Blake
C0233,Customer 0233,North,Mid-Market,2023-01-12,Drew
C0234,Customer 0234,South,Mid-Market,2022-11-06,Eden
C0235,Customer 0235,East,SMB,2022-11-20,Casey
C0236,Customer 0236,West,Mid-Market,2023-10-02,Casey
C0237,Customer 0237,North,SMB,2023-11-13,Alex
C0238,Customer 0238,South,SMB,2022-03-07,Blake
C0239,Customer 0239,East,SMB,2023-07-04,Drew
C0240,Customer 0240,West,Enterprise,2023-11-12,Casey
C0241,Customer 0241,North,SMB,2023-08-12,Blake
C0242,Customer 0242,South,Mid-Market,2023-02-26,Blake
C0243,Customer 0243,East,SMB,2022-07-29,Casey
C0244,Customer 0244,West,Mid-Market,2022-04-14,Blake
C0245,Customer 0245,North,Mid-Market,2022-09-03,Casey
C0246,Customer 0246,South,Mid-Market,2023-01-18,Drew
C0247,Customer 0247,East,Mid-Market,2023-03-08,Blake
C0248,Customer 0248,West,Enterprise,2022-08-28,Casey
C0249,Customer 0249,North,SMB,2023-01-06,Drew
C0250,Customer 0250,South,SMB,2023-11-05,Casey
C0251,Customer 0251,East,Mid-Market,2023-01-26,Eden
C0252,Customer 0252,West,Enterprise,2023-08-19,Casey
C0253,Customer 0253,North,Mid-Market,2022-07-08,Drew
C0254,Customer 0254,South,SMB,2022-12-30,Eden
C0255,Customer 0255,East,Mid-Market,2022-01-30,Alex
C0256,Customer 0256,West,SMB,2023-08-31,Eden
C0257,Customer 0257,North,SMB,2022-02-24,Blake
C0258,Customer 0258,South,SMB,2022-12-08,Alex
C0259,Customer 0259,East,SMB,2022-02-16,Drew
C0260,Customer 0260,West,SMB,2022-11-02,Eden
C0261,Customer 0261,North,Enterprise,2022-10-18,Blake
C0262,Customer 0262,South,SMB,2022-06-17,Drew
C0263,Customer 0263,East,SMB,2022-12-22,Blake
C0264,Customer 0264,West,Enterprise,2022-02-23,Eden
C0265,Customer 0265,North,Mid-Market,2022-10-25,Blake
C0266,Customer 0266,South,Mid-Market,2022-04-11,Drew
C0267,Customer 0267,East,SMB,2023-10-10,Drew
C0268,Customer 0268,West,SMB,2023-04-18,Blake
C0269,Customer 0269,North,Mid-Market,2022-11-23,Alex
C0270,Customer 0270,South,SMB,2022-10-20,Eden
C0271,Customer 0271,East,Enterprise,2023-11-02,Casey
C0272,Customer 0272,West,Enterprise,2023-07-16,Eden
C0273,Customer 0273,North,SMB,2022-12-19,Casey
C0274,Customer 0274,South,SMB,2022-08-19,Alex
C0275,Customer 0275,East,Mid-Market,2022-01-29,Casey
C0276,Customer 0276,West,Mid-Market,2023-10-06,Alex
C0277,Customer 0277,North,SMB,2022-06-20,Eden
C0278,Customer 0278,South,SMB,2023-03-19,Blake
C0279,Customer 0279,East,SMB,2022-05-17,Casey
C0280,Customer 0280,West,Enterprise,2023-05-22,Casey
